team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4105,Titty City,Sebastian Walcott,42991,SS,6,hitters,,,,,0.0
4105,Titty City,Andrew Vaughn,37469,1B,6,hitters,37469,26197,26197,Andrew Vaughn,638.2
4105,Titty City,Carter Jensen,40505,C,5,hitters,,,,,441.7
4105,Titty City,Zach Neto,42156,SS,5,hitters,42156,31347,31347,Zach Neto,845.9
4105,Titty City,Geraldo Perdomo,26198,SS,5,hitters,26198,22799,22799,Geraldo Perdomo,782.2
4105,Titty City,Luke Keaschall,44057,2B,4,hitters,,,,,640.8
4105,Titty City,Luis Pena,45090,2B/SS,3,hitters,,,,,0.0
4105,Titty City,Ryan Waldschmidt,45789,OF,3,hitters,,,,,154.9
4105,Titty City,Caleb Durbin,40398,2B/3B,3,hitters,40398,29646,29646,Caleb Durbin,584.4
4105,Titty City,Daulton Varsho,23833,OF,3,hitters,23833,19918,19918,Daulton Varsho,638.2
4105,Titty City,Joshua Baez,40147,OF,1,hitters,,,,,0.0
4304,Busch Banditos,Elly De La Cruz,36338,SS,28,hitters,36338,26668,26668,Elly De La Cruz,932.3
4304,Busch Banditos,Manny Machado,14934,3B,26,hitters,14934,11493,11493,Manny Machado,796.3
4304,Busch Banditos,Will Smith,23654,C,22,hitters,23654,19197,19197,Will Smith,640.3
4304,Busch Banditos,Kazuma Okamoto,48239,1B/3B,19,hitters,,,,,657.2
4304,Busch Banditos,Jarren Duran,33685,OF,17,hitters,33685,24617,24617,Jarren Duran,772.3
4304,Busch Banditos,Heliot Ramos,23834,OF,15,hitters,23834,22515,22515,Heliot Ramos,712.3
4304,Busch Banditos,Byron Buxton,18163,OF,14,hitters,18163,14161,14161,Byron Buxton,780.4
4304,Busch Banditos,Brendan Donovan,34619,2B/SS/OF,11,hitters,34619,24679,24679,Brendan Donovan,600.3
4304,Busch Banditos,Steven Kwan,35824,OF,10,hitters,35824,24610,24610,Steven Kwan,709.1
4304,Busch Banditos,Marcelo Mayer,40095,2B/SS/3B,7,hitters,40095,29668,29668,Marcelo Mayer,441.2
4304,Busch Banditos,Tyler Soderstrom,38388,1B/OF,7,hitters,38388,27467,27467,Tyler Soderstrom,724.3
4304,Busch Banditos,Kade Anderson,47553,Util,5,hitters,,,,,0.0
4304,Busch Banditos,Brett Baty,37181,2B/3B,4,hitters,37181,26123,26123,Brett Baty,482.9
4304,Busch Banditos,Tyler O'Neill,19296,OF,4,hitters,19296,15711,15711,Tyler O'Neill,511.5
4304,Busch Banditos,Konnor Griffin,45769,SS,4,hitters,,,,,550.9
4304,Busch Banditos,Jonathan India,33619,2B/3B/OF,4,hitters,33619,21523,21523,Jonathan India,611.0
4304,Busch Banditos,Jesus Made,45064,SS,3,hitters,,,,,0.0
4304,Busch Banditos,Jose Caballero,26915,2B/SS/3B/OF,3,hitters,26915,23401,23401,José Caballero,315.6
4304,Busch Banditos,Nolan Schanuel,43932,1B,3,hitters,43932,33189,33189,Nolan Schanuel,677.9
4304,Busch Banditos,Ryan Jeffers,33652,C,3,hitters,33652,24618,24618,Ryan Jeffers,587.9
4304,Busch Banditos,Josh Jung,37786,3B,3,hitters,37786,26299,26299,Josh Jung,584.6
4058,Cat & Kaboom,Yordan Alvarez,23795,OF,47,hitters,23795,19556,19556,Yordan Alvarez,956.0
4058,Cat & Kaboom,Ronald Acuña Jr.,23327,OF,45,hitters,23327,18401,18401,Ronald Acuña Jr.,1051.7
4058,Cat & Kaboom,Kyle Tucker,18546,OF,44,hitters,18546,18345,18345,Kyle Tucker,965.9
4058,Cat & Kaboom,Pete Alonso,23859,1B,31,hitters,23859,19251,19251,Pete Alonso,936.2
4058,Cat & Kaboom,Isaac Paredes,23831,3B,17,hitters,23831,20036,20036,Isaac Paredes,547.8
4058,Cat & Kaboom,Willy Adames,18407,SS,16,hitters,18407,15986,15986,Willy Adames,776.4
4058,Cat & Kaboom,Luis Robert Jr.,23780,OF,12,hitters,23780,20043,20043,Luis Robert Jr.,659.7
4058,Cat & Kaboom,Shea Langeliers,36669,C,11,hitters,36669,25816,25816,Shea Langeliers,681.9
4058,Cat & Kaboom,Marcus Semien,18263,2B,10,hitters,18263,12533,12533,Marcus Semien,637.5
4058,Cat & Kaboom,Jordan Westburg,38398,2B/3B,9,hitters,38398,27815,27815,Jordan Westburg,530.7
4058,Cat & Kaboom,Leo De Vries,44539,SS,6,hitters,,,,,32.4
4058,Cat & Kaboom,Cam Smith,45714,OF,5,hitters,,,,,477.7
4058,Cat & Kaboom,Christian Walker,18389,1B,5,hitters,18389,13419,13419,Christian Walker,638.7
4058,Cat & Kaboom,Carson Williams,40266,SS,3,hitters,40266,30038,30038,Carson Williams,420.5
4058,Cat & Kaboom,Kyle Stowers,37480,OF,3,hitters,37480,24586,,,764.8
4058,Cat & Kaboom,Victor Robles,18516,OF,2,hitters,18516,18363,18363,Victor Robles,315.7
4058,Cat & Kaboom,Eduardo Quintero,43129,OF,2,hitters,,,,,0.0
4058,Cat & Kaboom,Masyn Winn,38404,SS,2,hitters,38404,27479,27479,Masyn Winn,667.7
4058,Cat & Kaboom,George Lombard Jr.,44470,SS,1,hitters,,,,,0.0
4058,Cat & Kaboom,J.P. Crawford,18272,SS,1,hitters,18272,15491,15491,J.P. Crawford,615.5
4058,Cat & Kaboom,Josue Briceno,41335,C/1B,1,hitters,,,,,0.0
4058,Cat & Kaboom,Christopher Morel,26080,OF,1,hitters,26080,21897,21897,Christopher Morel,375.7
