playerid,PlayerName,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
25327,Abner Uribe,72.0,0.0,72.0,18.983,6.8303,499.8000000000001,MIL,2026,pit,RP
17897,Garrett Cleavinger,66.0,0.0,66.0,7.529,13.4459,437.1000000000001,TBR,2026,pit,RP
14212,Josh Hader,60.0,0.0,60.0,29.255,2.7237,477.20000000000005,HOU,2026,pit,RP
27758,Kyle Harrison,28.58,14.58,93.5879,0.0,0.6166,370.80000000000007,MIL,2026,pit,SP
35321,Tomoyuki Sugano,21.06,21.06,115.827,0.0,0.0,275.70000000000016,COL,2026,pit,SP
19569,David Bednar,65.0,0.0,65.0,32.818,1.5537,518.7,NYY,2026,pit,RP
27756,Mick Abel,34.68,22.68,135.795,0.0,0.6401,472.4000000000001,MIN,2026,pit,SP
20191,Garrett Whitlock,70.0,0.0,70.0,3.258,14.2487,421.09999999999997,BOS,2026,pit,RP
21446,Ryan Feltner,34.2,16.2,107.378,0.0,0.6093,335.2,COL,2026,pit,RP
17780,José Alvarado,64.0,0.0,64.0,3.14,12.2601,388.99999999999994,PHI,2026,pit,RP
15130,Drew Anderson,55.24,3.24,70.468,0.0,6.329,351.40000000000003,DET,2026,pit,RP
17432,Jeff Hoffman,63.0,0.0,63.0,26.084,3.7941,469.5,TOR,2026,pit,RP
19769,Will Vest,68.0,0.0,68.0,4.842,11.6348,414.80000000000007,DET,2026,pit,RP
17722,Trevor Megill,66.0,0.0,66.0,10.757,8.8845,429.2000000000001,MIL,2026,pit,RP
20373,Andrés Muñoz,64.0,0.0,64.0,28.243,3.3532,511.70000000000005,SEA,2026,pit,RP
27691,Louis Varland,67.0,0.0,67.0,2.059,13.4475,388.0999999999999,TOR,2026,pit,RP
29914,Andrew Alvarez,33.34,11.34,85.3364,0.0,0.6461,307.09999999999997,WSN,2026,pit,RP
21052,Luis Gil,51.34,11.34,102.47,0.0,0.6905,401.70000000000005,NYY,2026,pit,RP
15038,Germán Márquez,32.68,22.68,131.404,0.0,0.6532,416.3000000000001,SDP,2026,pit,SP
15816,Devin Williams,64.0,0.0,64.0,32.459,3.1759,516.0,NYM,2026,pit,RP
15507,Hunter Harvey,52.0,0.0,52.0,4.719,12.8961,347.9,CHC,2026,pit,RP
20531,Kutter Crawford,56.48,6.48,86.0952,0.0,6.7626,384.3,BOS,2026,pit,RP
7048,Fernando Cruz,61.0,0.0,61.0,1.094,15.9717,389.70000000000005,NYY,2026,pit,RP
19867,Griffin Canning,29.82,17.82,108.548,0.0,0.6532,395.99999999999994,SDP,2026,pit,SP
30056,David Festa,22.48,6.48,51.1723,0.0,0.6401,217.50000000000006,MIN,2026,pit,RP
9323,Patrick Corbin,16.2,16.2,88.7012,0.0,0.0,301.30000000000007,,2026,pit,SP
17586,Tanner Scott,63.0,0.0,63.0,3.788,14.7292,383.90000000000003,LAD,2026,pit,RP
30115,Robert Suarez,67.0,0.0,67.0,8.402,10.9255,405.0,ATL,2026,pit,RP
11847,Chris Martin,54.0,0.0,54.0,3.844,12.2406,331.8,TEX,2026,pit,RP
33666,Connelly Early,20.86,4.86,43.3189,0.0,0.6763,205.6,BOS,2026,pit,RP
31776,Orion Kerkering,63.0,0.0,63.0,1.047,12.7283,351.70000000000005,PHI,2026,pit,RP
17998,Pete Fairbanks,62.0,0.0,62.0,26.523,4.1124,443.29999999999995,MIA,2026,pit,RP
sa3007778,Ryan Weiss,39.72,9.72,85.404,0.0,0.6557,325.30000000000007,HOU,2026,pit,RP
23301,Janson Junk,47.72,9.72,92.6908,0.0,0.6387,339.9000000000001,MIA,2026,pit,RP
20039,Adrian Morejon,68.0,0.0,68.0,3.232,13.3697,393.1,SDP,2026,pit,RP
33850,Brandon Sproat,27.72,9.72,72.933,0.0,0.6166,275.30000000000007,MIL,2026,pit,RP
33527,Hurston Waldrep,12.96,12.96,73.1385,0.0,0.0,274.00000000000006,ATL,2026,pit,SP
23590,Ben Brown,41.62,1.62,48.8735,0.0,0.7209,244.60000000000002,CHC,2026,pit,RP
25756,Matt Brash,63.0,0.0,63.0,3.218,12.3012,391.4000000000001,SEA,2026,pit,RP
18138,Ryan Helsley,64.0,0.0,64.0,25.766,3.4023,460.1,BAL,2026,pit,RP
13799,Matt Strahm,66.0,0.0,66.0,1.055,16.6661,371.90000000000003,KCR,2026,pit,RP
sa3017880,Andrew Painter,30.82,17.82,114.574,0.0,0.6364,366.8,PHI,2026,pit,SP
21306,Jacob Latz,51.34,11.34,103.236,0.0,0.6589,380.8,TEX,2026,pit,RP
33482,Chase Dollander,22.68,22.68,121.211,0.0,0.0,327.80000000000007,COL,2026,pit,SP
19361,Corbin Burnes,6.48,6.48,37.8372,0.0,0.0,175.4,ARI,2026,pit,SP
19804,Bryan Baker,63.0,0.0,63.0,3.227,12.3776,357.4000000000001,TBR,2026,pit,RP
24763,Kyle Leahy,52.58,14.58,120.146,0.0,0.6733,433.7,STL,2026,pit,RP
21649,Luis Medina,49.72,9.72,94.106,0.0,0.6384,345.1,ATH,2026,pit,RP
21504,Jake Irvin,22.2,16.2,96.2594,0.0,0.6461,307.7000000000001,WSN,2026,pit,SP
27572,Carmen Mlodzinski,53.24,3.24,66.7327,0.0,4.3897,300.69999999999993,PIT,2026,pit,RP
21487,Stephen Kolek,36.1,8.1,74.7699,0.0,0.666,279.0,KCR,2026,pit,RP
24017,Jose A. Ferrer,70.0,0.0,70.0,3.218,16.153,423.40000000000003,SEA,2026,pit,RP
30160,Richard Fitts,38.68,22.68,137.833,0.0,0.6733,459.20000000000005,STL,2026,pit,SP
21992,Camilo Doval,64.0,0.0,64.0,2.188,13.7406,379.59999999999997,NYY,2026,pit,RP
25007,Alex Vesia,61.0,0.0,61.0,1.263,17.966,353.30000000000007,LAD,2026,pit,RP
31807,Troy Melton,40.86,4.86,63.4665,0.0,0.6086,266.20000000000005,DET,2026,pit,RP
27597,Cody Bradford,36.1,8.1,73.6916,0.0,0.6589,278.6,TEX,2026,pit,RP
sa3020808,Connor Prielipp,44.86,4.86,67.702,0.0,0.6401,279.20000000000005,MIN,2026,pit,RP
20539,Edwin Uceta,62.0,0.0,62.0,12.19,10.3826,393.79999999999995,TBR,2026,pit,RP
16258,Aaron Bummer,60.0,0.0,60.0,0.0,12.1086,328.5,ATL,2026,pit,RP
17425,Erick Fedde,27.82,17.82,108.032,0.0,0.5829,319.5,CHW,2026,pit,SP
27514,Kyle Hurt,30.86,4.86,53.48,0.0,0.7767,225.3,LAD,2026,pit,RP
19360,Lucas Erceg,62.0,0.0,62.0,2.109,12.8377,346.79999999999995,KCR,2026,pit,RP
17170,Gabe Speier,58.0,0.0,58.0,0.0,11.7053,347.6,SEA,2026,pit,RP
31730,Jonathan Cannon,40.58,14.58,105.489,0.0,0.5829,317.29999999999995,CHW,2026,pit,RP
12572,Blake Treinen,58.0,0.0,58.0,1.263,14.3015,327.5,LAD,2026,pit,RP
23363,Robert Garcia,64.0,0.0,64.0,19.54,6.3259,428.3,TEX,2026,pit,RP
19249,Seranthony Domínguez,63.0,0.0,63.0,19.744,5.5085,400.00000000000006,CHW,2026,pit,RP
30240,Hunter Dobbins,34.96,12.96,93.4066,0.0,0.6733,328.40000000000003,STL,2026,pit,RP
11426,Drew Pomeranz,58.0,0.0,58.0,3.126,10.8616,323.5,LAA,2026,pit,RP
19996,Dylan Lee,65.0,0.0,65.0,1.05,15.9878,364.49999999999994,ATL,2026,pit,RP
20423,Ryan Walker,63.0,0.0,63.0,24.44,6.2602,457.4000000000001,SFG,2026,pit,RP
27517,Jared Koenig,65.0,0.0,65.0,0.949,15.1978,367.09999999999997,MIL,2026,pit,RP
35466,Payton Tolle,22.86,4.86,44.9371,0.0,0.6763,192.0,BOS,2026,pit,RP
14739,Paul Blackburn,58.62,1.62,65.8424,0.0,12.2451,315.7000000000001,NYY,2026,pit,RP
16727,Brock Stewart,44.0,0.0,44.0,0.0,0.7767,211.20000000000002,LAD,2026,pit,RP
15551,Mark Leiter Jr.,64.0,0.0,64.0,6.104,13.0966,351.40000000000003,ATH,2026,pit,RP
26410,Alek Manoah,14.58,14.58,80.8465,0.0,0.0,262.59999999999997,LAA,2026,pit,SP
19343,A.J. Puk,42.0,0.0,42.0,6.781,0.539,252.00000000000003,ARI,2026,pit,RP
17130,Raisel Iglesias,66.0,0.0,66.0,25.555,4.4459,459.0000000000001,ATL,2026,pit,RP
12880,Tyler Anderson,17.82,17.82,100.522,0.0,0.0,299.60000000000014,LAA,2026,pit,SP
24719,Randy Vásquez,35.3,24.3,140.464,0.0,0.6532,395.4,SDP,2026,pit,SP
19677,Gregory Soto,61.0,0.0,61.0,4.299,13.8169,360.80000000000007,PIT,2026,pit,RP
29921,Spencer Arrighetti,28.96,12.96,87.1013,0.0,0.6557,323.7000000000001,HOU,2026,pit,RP
16943,Sean Newcomb,61.62,1.62,68.9753,1.942,10.2281,339.40000000000003,CHW,2026,pit,RP
23550,Aaron Ashby,70.0,0.0,70.0,0.949,13.7025,385.00000000000006,MIL,2026,pit,RP
