team_id,team_name,player_name,fg_id,position,salary,player_type
4060,Chyna Jr,Xander Bogaerts,13117,SS,5,hitters
4060,Chyna Jr,Miguel Vargas,34804,1B/3B,5,hitters
4060,Chyna Jr,Jeff Mcneil,18644,2B/OF,4,hitters
4060,Chyna Jr,Kevin McGonigle,44223,SS,3,hitters
4060,Chyna Jr,Otto Lopez,26570,2B/SS,1,hitters
4060,Chyna Jr,Garrett Crochet,38312,SP,28,pitchers
4060,Chyna Jr,Kevin Gausman,18196,SP,23,pitchers
4060,Chyna Jr,Kris Bubic,35566,SP,21,pitchers
4060,Chyna Jr,Jack Flaherty,20920,SP,17,pitchers
4060,Chyna Jr,Edward Cabrera,33325,SP,8,pitchers
4060,Chyna Jr,Bryan Abreu,20900,RP,6,pitchers
4060,Chyna Jr,Emilio Pagan,19394,RP,6,pitchers
4060,Chyna Jr,Cade Smith,38754,RP,6,pitchers
4060,Chyna Jr,Ian Seymour,38409,SP/RP,5,pitchers
4060,Chyna Jr,Luis Gil,23373,SP,4,pitchers
4060,Chyna Jr,Matthew Boyd,18465,SP,4,pitchers
4060,Chyna Jr,Hagen Smith,45721,SP,2,pitchers
4060,Chyna Jr,Kevin Ginkel,31509,RP,1,pitchers
4060,Chyna Jr,Garrett Cleavinger,20421,RP,1,pitchers
4060,Chyna Jr,Michael Wacha,18171,SP,1,pitchers
4105,Titty City,Austin Riley,22674,3B,28,hitters
4105,Titty City,Wyatt Langford,43896,OF,20,hitters
4105,Titty City,Bryan Reynolds,23825,OF,16,hitters
4105,Titty City,Eugenio Suarez,9668,3B,12,hitters
4105,Titty City,Salvador Perez,8626,C/1B,10,hitters
4105,Titty City,Wilyer Abreu,27058,OF,9,hitters
4105,Titty City,Jakob Marsee,42169,OF,8,hitters
4105,Titty City,Bryson Stott,37531,2B/SS,8,hitters
4105,Titty City,Agustin Ramirez,36325,C,8,hitters
4105,Titty City,Andrew Vaughn,37469,1B,6,hitters
4105,Titty City,Sal Stewart,42358,1B/3B,6,hitters
4105,Titty City,Dylan Beavers,42279,OF,6,hitters
4105,Titty City,Sebastian Walcott,42991,SS,6,hitters
4105,Titty City,Zach Neto,42156,SS,5,hitters
4105,Titty City,Carter Jensen,40505,C,5,hitters
4105,Titty City,Geraldo Perdomo,26198,SS,5,hitters
4105,Titty City,Luke Keaschall,44057,2B,4,hitters
4105,Titty City,Ryan Waldschmidt,45789,OF,3,hitters
4105,Titty City,Luis Pena,45090,2B/SS,3,hitters
4105,Titty City,Cole Young,42582,2B/SS,3,hitters
4105,Titty City,Daulton Varsho,23833,OF,3,hitters
4105,Titty City,Caleb Durbin,40398,2B/3B,3,hitters
4105,Titty City,Joshua Baez,40147,OF,1,hitters
4105,Titty City,Yoshinobu Yamamoto,44525,SP,42,pitchers
4105,Titty City,Paul Skenes,43894,SP,41,pitchers
4105,Titty City,Zack Wheeler,15962,SP,24,pitchers
4105,Titty City,Tanner Bibee,40978,SP,15,pitchers
