playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
sa919018,Justin Camp,P,1.0,0.0,1.0,0.0,0.0,2.9055398106575017,,2021,pit,RP
14867,Nick Rumbelow,P,1.0,0.0,1.0,0.0,0.0,2.876526489853859,,2021,pit,RP
sa3007958,Cody Deason,P,0.23070000112056732,0.16369999945163727,1.0,0.0,0.0,1.9379333250224589,,2021,pit,SP
sa1116003,Ricky DeVito,P,0.24310000240802765,0.16110000014305115,1.0,0.0,0.0,1.7646266892552376,,2021,pit,SP
sa3005415,Carlos Sano,P,0.957099974155426,0.009100000374019146,1.0,0.0,0.0,3.2271199241280564,,2021,pit,RP
sa202000,Jose Oyervides,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.5057265609502792,,2021,pit,SP
sa919219,Randy Pondler,P,1.0,0.0,1.0,0.0,0.0,2.8833000980317594,,2021,pit,RP
sa828794,Brian Gonzalez,P,0.852400004863739,0.03139999881386757,1.0,0.0,0.0,2.0668934904038903,SDP,2021,pit,RP
sa918361,Devan Watts,P,1.0,0.0,1.0,0.0,0.0,2.9066465221345426,,2021,pit,RP
7773,Shawn Kelley,P,1.0,0.0,1.0,0.0,0.0,2.903046629577876,,2021,pit,RP
sa3006776,Wyatt Burns,P,1.0,0.0,1.0,0.0,0.0,2.7939134098589427,,2021,pit,RP
sa915633,Brian Shaffer,P,0.5819000005722046,0.08889999985694885,1.0,0.0,0.0,2.718639914691449,,2021,pit,RP
7450,Phil Hughes,P,0.8259999752044678,0.03700000047683716,1.0,0.0,0.0,2.5634801693260676,,2021,pit,RP
9674,Vidal Nuño,P,1.0,0.0,1.0,0.0,0.0,3.22006002664566,,2021,pit,RP
sa542987,Luis Niebla,P,0.29580000042915344,0.14980000257492065,1.0,0.0,0.0,1.748873347043991,,2021,pit,SP
18854,Ben Meyer,P,1.0,0.0,1.0,0.0,0.0,2.234133295714855,COL,2021,pit,RP
sa738328,Matt Brill,P,1.0,0.0,1.0,0.0,0.0,3.1195064902305605,,2021,pit,RP
14382,Wei-Chung Wang,P,1.0,0.0,1.0,0.0,0.0,2.8528065212070945,,2021,pit,RP
sa921581,Matt Pobereyko,P,1.0,0.0,1.0,0.0,0.0,3.007413238286972,,2021,pit,RP
23091,Robinson Piña,P,0.21250000596046448,0.16750000417232513,1.0,0.0,0.0,1.6695332653820514,,2021,pit,SP
sa873200,Joel Espinal,P,0.3732999861240387,0.13330000638961792,1.0,0.0,0.0,1.9800200648605824,TOR,2021,pit,RP
sa3004338,Randy Bell,P,0.24469999969005585,0.1606999933719635,1.0,0.0,0.0,1.6291067212820054,SEA,2021,pit,SP
sa502193,Austin House,P,1.0,0.0,1.0,0.0,0.0,2.870220082253218,,2021,pit,RP
sa3003145,Manuel Santiago,P,0.28839999437332153,0.15139999985694885,1.0,0.0,0.0,1.7006799466907982,,2021,pit,SP
17092,Domingo Acevedo,P,1.0,0.0,1.0,0.0,0.0,3.2163133673369884,,2021,pit,RP
sa3010567,Dalton Roach,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.741846650838852,,2021,pit,SP
sa503692,Jeff Ames,P,0.8582000136375427,0.03020000085234642,1.0,0.0,0.0,2.9361068785190585,,2021,pit,RP
1137,Jerome Williams,P,1.0,0.0,1.0,0.0,0.0,2.6359733879566187,,2021,pit,RP
22913,Francisco Morales,P,0.2892000079154968,0.15119999647140503,1.0,0.0,0.0,1.8507331304252141,,2021,pit,SP
8004,Marcus Walden,P,3.0,0.0,3.0,0.0,0.6876999735832214,12.437559995055203,,2021,pit,RP
sa857684,Ryan Perez,P,0.2825999855995178,0.1526000052690506,1.0,0.0,0.0,1.7129467301070695,CLE,2021,pit,SP
19495,Mike Shawaryn,P,1.0,0.0,1.0,0.0,0.0,2.9398465745151046,,2021,pit,RP
sa828548,Jose Nin,P,1.0,0.0,1.0,0.0,0.0,2.809106697142125,,2021,pit,RP
sa795086,Tiago Da Silva,P,0.4442000091075897,0.11819999665021896,1.0,0.0,0.0,1.931613366305828,,2021,pit,RP
23391,Ricky Vanasco,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.5374265737831592,DET,2021,pit,SP
sa548277,Ralston Cash,P,1.0,0.0,1.0,0.0,0.0,3.011506558209658,,2021,pit,RP
sa918939,Garrison Bryant,P,0.2257000058889389,0.1647000014781952,1.0,0.0,0.0,1.8897999919950963,,2021,pit,SP
10688,Tyler Thornburg,P,1.0,0.0,1.0,0.0,0.0,2.910513278841973,,2021,pit,RP
6238,Diego Moreno,P,1.0,0.0,1.0,0.0,0.0,3.1632800228893756,,2021,pit,RP
sa873637,Reece Karalus,P,0.7972000241279602,0.04320000112056732,1.0,0.0,0.0,2.638833372294903,,2021,pit,RP
sa829666,Zach Lewis,P,0.2578999996185303,0.15790000557899475,1.0,0.0,0.0,1.5812867134809494,CHW,2021,pit,SP
sa828169,Yeudy Garcia,P,0.798799991607666,0.04280000180006027,1.0,0.0,0.0,2.6693998403847226,,2021,pit,RP
8600,Dustin McGowan,P,1.0,0.0,1.0,0.0,0.0,3.0886732168495654,TBR,2021,pit,RP
15130,Drew Anderson,P,1.0,0.0,1.0,0.0,0.0,2.5301867686212063,DET,2021,pit,RP
sa3008595,Alex Phillips,P,0.916700005531311,0.01769999973475933,1.0,0.0,0.0,2.9401733443140983,,2021,pit,RP
10285,Josh Smoker,P,1.0,0.0,1.0,0.0,0.0,2.9424998760223393,,2021,pit,RP
sa325738,Rolando Valdez,P,0.2167000025510788,0.16670000553131104,1.0,0.0,0.0,1.4135732404887675,,2021,pit,SP
sa3006830,Dallas Litscher,P,0.20180000364780426,0.16979999840259552,1.0,0.0,0.0,1.1253067620098585,,2021,pit,SP
18792,Miguel Del Pozo,P,1.0,0.0,1.0,0.0,0.0,3.207913330942393,,2021,pit,RP
sa509937,Luis Mendez,P,0.19850000739097595,0.1704999953508377,1.0,0.0,0.0,1.460266573727131,,2021,pit,SP
1642,Francisco Rodríguez,P,1.0,0.0,1.0,0.0,0.0,2.7739067278802394,,2021,pit,RP
16684,Zac Curtis,P,1.0,0.0,1.0,0.0,0.0,3.070939942449332,,2021,pit,RP
sa873150,Diego Cordero,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.6103868938982484,,2021,pit,SP
sa3000055,Alexis Candelario,P,0.19189999997615814,0.17190000414848328,1.0,0.0,0.0,1.4962067894637592,,2021,pit,SP
sa829581,Chris Mathewson,P,0.34940001368522644,0.13840000331401825,1.0,0.0,0.0,1.865693394094706,,2021,pit,RP
sa874149,Brett Hanewich,P,1.0,0.0,1.0,0.0,0.0,2.9986532770097263,,2021,pit,RP
4544,Chris Smith,P,0.3089999854564667,0.1469999998807907,1.0,0.0,0.0,1.6492334261536592,,2021,pit,RP
sa200086,Jonathan Castellanos,P,0.3395000100135803,0.1404999941587448,1.0,0.0,0.0,1.6374532960355288,,2021,pit,RP
sa3003083,Victor Santos,P,0.321399986743927,0.1444000005722046,1.0,0.0,0.0,1.659426592290402,STL,2021,pit,RP
2237,Blaine Boyer,P,1.0,0.0,1.0,0.0,0.0,2.692466924339533,,2021,pit,RP
sa658959,Rafael Pineda,P,0.375,0.13300000131130219,1.0,0.0,0.0,1.8276399627327913,,2021,pit,RP
20061,Kaleb Ort,P,1.0,0.0,1.0,0.0,0.0,3.08365994989872,LAA,2021,pit,RP
24581,Lyon Richardson,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.0634399406611923,CIN,2021,pit,SP
sa542183,Angel Araiza,P,0.2784999907016754,0.1535000056028366,1.0,0.0,0.0,1.6445200584828856,,2021,pit,SP
12182,Cody Martin,P,1.0,0.0,1.0,0.0,0.0,2.7956265687942508,,2021,pit,RP
sa3007851,Tyler McKay,P,0.25049999356269836,0.15950000286102295,1.0,0.0,0.0,1.5488264791667468,,2021,pit,SP
sa3004812,Steven Jennings,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.399733208864928,,2021,pit,SP
sa875613,Andrew Jordan,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.0798199519515035,CIN,2021,pit,SP
sa918495,Alejandro Mateo,P,1.0,0.0,1.0,0.0,0.0,2.79289341121912,,2021,pit,RP
8504,Jeff Beliveau,P,1.0,0.0,1.0,0.0,0.0,2.8988467097282418,,2021,pit,RP
9037,J.J. Hoover,P,1.0,0.0,1.0,0.0,0.0,2.8785933569073685,,2021,pit,RP
sa3006825,Alex Royalty,P,0.18199999630451202,0.17399999499320984,1.0,0.0,0.0,1.5643532276153564,,2021,pit,SP
sa877526,Jesus Vargas,P,0.2612000107765198,0.15719999372959137,1.0,0.0,0.0,1.6615999959409238,,2021,pit,SP
sa657149,Jaime Lugo,P,0.3700000047683716,0.1340000033378601,1.0,0.0,0.0,1.8214267238974569,,2021,pit,RP
978,Bronson Arroyo,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.3468134380877022,,2021,pit,SP
sa659266,Sean McLaughlin,P,1.0,0.0,1.0,0.0,0.0,2.799099794775248,,2021,pit,RP
15688,Ronald Herrera,P,1.0,0.0,1.0,0.0,0.0,2.728453336656094,,2021,pit,RP
sa917763,Edwuin Bencomo,P,0.5440000295639038,0.09700000286102295,1.0,0.0,0.0,2.233020145446062,,2021,pit,RP
sa504951,Oscar Verdugo,P,0.2150000035762787,0.16699999570846558,1.0,0.0,0.0,1.4878065049648286,PIT,2021,pit,SP
19192,Brandyn Sittinger,P,1.0,0.0,1.0,0.0,0.0,3.059353195875883,,2021,pit,RP
15853,Jesen Therrien,P,1.0,0.0,1.0,0.0,0.0,2.6986933752894404,,2021,pit,RP
sa829140,Mike Franco,P,1.0,0.0,1.0,0.0,0.0,3.319079966843129,,2021,pit,RP
26231,Tyler Holton,P,0.21250000596046448,0.16750000417232513,1.0,0.0,0.0,1.791766723990441,DET,2021,pit,SP
4168,Edward Paredes,P,1.0,0.0,1.0,0.0,0.0,2.901573503762484,,2021,pit,RP
sa837843,Sven Schüller,P,1.0,0.0,1.0,0.0,0.0,2.721359862387181,,2021,pit,RP
sa602917,Kelvin Vasquez,P,0.8812999725341797,0.025299999862909317,1.0,0.0,0.0,2.7182733543217177,,2021,pit,RP
13818,Chris O'Grady,P,1.0,0.0,1.0,0.0,0.0,2.881639786064625,,2021,pit,RP
24935,Chris Vallimont,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.7662466980516913,,2021,pit,SP
13211,Warwick Saupold,P,1.0,0.0,1.0,0.0,0.0,2.6534598074853424,,2021,pit,RP
sa917194,Hector Yan,P,0.2223999947309494,0.16539999842643738,1.0,0.0,0.0,1.686139938235283,,2021,pit,SP
21863,George Soriano,P,0.19939999282360077,0.1703999936580658,1.0,0.0,0.0,1.716806548088789,STL,2021,pit,SP
3926,Casey Fien,P,1.0,0.0,1.0,0.0,0.0,2.806859946995973,,2021,pit,RP
sa830305,Luis Martinez,P,1.0,0.0,1.0,0.0,0.0,2.9107932880520826,,2021,pit,RP
sa1172135,Andy Fisher,P,0.6545000076293945,0.07349999994039536,1.0,0.0,0.0,1.9856401398777965,,2021,pit,RP
8180,Kevin Siegrist,P,1.0,0.0,1.0,0.0,0.0,2.970693288743496,,2021,pit,RP
sa549734,Ernesto Zaragoza,P,0.2825999855995178,0.1526000052690506,1.0,0.0,0.0,1.6738867409527298,,2021,pit,SP
sa875768,Kyle Wilson,P,0.20919999480247498,0.16820000112056732,1.0,0.0,0.0,1.769913343340158,,2021,pit,SP
sa918033,Dan Dallas,P,0.8945000171661377,0.02250000089406967,1.0,0.0,0.0,2.8757068812847137,,2021,pit,RP
23779,Justin Bruihl,P,1.0,0.0,1.0,0.0,0.0,2.8410067349672317,STL,2021,pit,RP
13530,Alejandro Chacin,P,1.0,0.0,1.0,0.0,0.0,2.8283532835543155,,2021,pit,RP
1437,Joaquín Benoit,P,1.0,0.0,1.0,0.0,0.0,2.850846619158983,,2021,pit,RP
sa659790,Ryne Slack,P,0.8912000060081482,0.02319999970495701,1.0,0.0,0.0,2.7273002088069918,,2021,pit,RP
sa737945,Ty Boyles,P,1.0,0.0,1.0,0.0,0.0,2.8435533322393893,,2021,pit,RP
15215,Kevin McGowan,P,1.0,0.0,1.0,0.0,0.0,3.076946613937616,,2021,pit,RP
12537,Cory Mazzoni,P,1.0,0.0,1.0,0.0,0.0,2.763046658784151,,2021,pit,RP
sa599246,Josh Martin,P,1.0,0.0,1.0,0.0,0.0,2.98921328112483,,2021,pit,RP
sa828552,Breiling Eusebio,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,0.6832665205001831,,2021,pit,SP
