Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Carlos Hernández","CLE",0.447974,0.434533,0,4.43301,12.027,0,0,0.6803,,12.6889,54.6948,11.5037,6.67,6.25,1.67715,5.43934,0.246787,0.360308,12.1616,8.62599,3.85802,2.23586,1.18957,0.222354,0.099449,0.1229047179222107,0.235272,1.33526,0.280306,0.703872,,,4.30771,0.0664692,-0.0210645,999,,,,,,,53.39999999999999,4.107692307692307,52,4,,,,,,,,,,,,,,,,,,,"Carlos Hernandez","22713",672578
"Drew Smith","WSN",0.767402,0.770539,0,4.60925,23.191,0,0,0.6461,,23.4116,101.341,21.4432,12.85,11.99,3.43169,9.57841,0.500628,1.20821,22.7545,8.7474,3.68218,2.3756,1.31923,0.224535,0.0945168,0.13001775741577148,0.2368,1.32505,0.279821,0.693116,,,4.47903,0.0659769,-0.099768,999,,,,,,,95.70000000000002,4.160869565217392,93,4.043478260869565,,,,,,,,,,,,,,,,,,,"Drew Smith","17755",622098
"Ryan Rolison","CHC",0.836368,0.647181,0,4.36245,19.762,0.053,0,0.7209,,21.9716,94.4932,22.0457,11.44,10.65,2.45629,7.41384,0.710807,0.847491,16.6075,6.80277,3.03685,2.24007,1.00614,0.175754,0.0784589,0.09729479253292084,0.255656,1.3408,0.291647,0.692507,,,4.20473,0.06596,0.0506731,999,,,,,,,95.00000000000001,4.318181818181819,98,4.454545454545454,,,,,,,,,,,,,,,,,,,"Ryan Rolison","22200",669020
"Ryan Brasier","TEX",1.823,1.43127,0,4.51276,39.303,0.327,0,0.6589,,41.1633,174.515,38.7784,22.06,20.64,6.31766,12.6026,0.737374,1.58772,33.4358,7.31044,2.75544,2.65309,1.3813,0.191592,0.0722147,0.119377501308918,0.241874,1.24822,0.269224,0.689317,,,4.54,0.0616144,-0.058623,999,,,,,,,153.20000000000002,3.7365853658536587,152,3.707317073170732,,,,,,,,,,,,,,,,,,,"Ryan Brasier","5615",518489
"Cionel Pérez","WSN",1.01308,0.99237,0,4.45027,31.008,0,1,11.1145,,31.4273,138.142,30.6576,16.68,15.54,2.82724,14.6159,0.672358,2.04436,25.1016,7.18847,4.18563,1.71742,0.809651,0.181709,0.105803,0.07590531557798386,0.252364,1.44058,0.297483,0.692079,,,4.29755,0.0610947,-0.081538,999,,,,,,,159.89999999999998,5.1580645161290315,164,5.290322580645161,,,,,,,,,,,,,,,,,,,"Cionel Perez","19614",672335
"Daison Acosta","SDP",0.428779,0.303569,0,3.98379,9.8,0,0,0,,10.1888,44.1819,8.30389,4.84,4.51,1.13877,5.3716,0.800154,0.601333,11.3031,9.98429,4.74486,2.10423,1.0059,0.255831,0.121579,0.13425178080797195,0.217328,1.34221,0.278072,0.731341,,,4.12805,0.0608032,0.0230332,999,,,,,,,44.900000000000006,4.49,41,4.1,,,,,,,,,,,,,,,,,,,"Daison Acosta","sa944989",670897
"James Karinchak","ATL",0.374651,0.27973,0,4.53347,9.785,0,0,0.6487,,10.1644,44.4816,8.17455,5.47,5.12,1.29384,5.8335,0.20315,0.541474,12.9671,11.4817,5.16523,2.22287,1.14562,0.291517,0.131144,0.1603727638721466,0.214518,1.37815,0.288553,0.700031,,,4.12,0.0605372,0.0230332,999,,,,,,,49.900000000000006,4.99,46,4.6,,,,,,,,,,,,,,,,,,,"James Karinchak","20151",675916
"Joey Gerber","NYM",0.682911,0.454651,0,4.38296,13.188,0,0,0.7168,,14.5176,62.1225,12.8309,7.55,7.07,2.16071,5.60281,0.489513,0.698588,14.1464,8.76989,3.47339,2.52488,1.33951,0.227718,0.0901896,0.13752833753824234,0.229858,1.26975,0.270036,0.706335,,,4.42327,0.0578798,-0.0164713,999,,,,,,,63.60000000000001,4.24,60,4,,,,,,,,,,,,,,,,,,,"Joey Gerber","24591",680702
"Seth Johnson","PHI",0.705884,0.598557,0,4.38415,17.197,0.358,0,0.6364,,20.2411,87.2916,18.2314,10.59,9.86,2.76953,8.99516,0.68736,0.512395,19.8005,8.80407,3.9996,2.20124,1.23144,0.226831,0.103047,0.1237839013338089,0.234384,1.34511,0.280034,0.71251,,,4.36657,0.0574303,-0.0558177,999,,,,,,,78.3,3.915,75,3.75,,,,,,,,,,,,,,,,,,,"Seth Johnson","26020",686751
"Rafael Montero","NYY",1.6799,0.971102,0,4.32988,32.136,0,0,0.6905,,32.7376,140.526,29.169,16.82,15.75,4.02222,14.8518,0.588082,0.924107,29.5038,8.11098,4.08296,1.98654,1.10576,0.209952,0.105687,0.10426518321037292,0.23382,1.34466,0.27566,0.708545,,,4.37558,0.0571854,0.0249009,999,,,,,,,135.60000000000005,4.10909090909091,129,3.909090909090909,,,,,,,,,,,,,,,,,,,"Rafael Montero","12760",606160
