Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Max Schuemann","NYY",20.308,69.325,61.1238,13.5735,9.67665,2.49691,0.226755,1.1732,7.5238,5.37436,5.89877,0.0707545,15.5695,1.18727,0.520081,0.595031,1.20038,1.83396,0.522214,0.222066,0.0850886,0.224586,0.378868,0.30059,0.327917,0.281125,0.628507,0.105851,5.12798,0.276168,,0.0427408,6.39406,-1.79722,79.3282,0.0427408,0.04,-1.6462996304035187,0.6667901054024696,0.143907,999,,,,,,,54.6,2.73,54.6,2.73,,,,,,,,,,,,,,,,,,,"Max Schuemann","24488",680474
"Jon Berti",,40.834,142.355,129.75,31.2821,24.2007,5.18137,0.732298,1.16774,16.3317,9.92237,9.67983,0.174001,31.6521,1.21462,0.734872,0.852021,2.84132,6.85329,1.77123,0.241094,0.0679978,0.222346,0.30582,0.298321,0.319315,0.274999,0.617636,0.0782207,6.23613,0.308342,,0.41477,12.4219,-4.39848,73.6183,0.41477,-0.21,-4.023979276418686,0.6001983731985092,0.142636,999,,,,,,,113.9,2.77804878,113.9,2.77804878,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Mickey Gasper","BOS",12.774,38.03,33.7862,7.75191,5.35138,1.55552,0.081997,0.763013,3.78542,3.8122,3.26187,0.0915203,7.16549,0.620417,0.26537,0.096136,0.72927,0.285248,0.0889297,0.22944,0.085771,0.188417,0.45522,0.306697,0.348085,0.29053,0.654782,0.118645,3.36853,0.267538,,-0.0397221,3.79804,-0.695493,80.4832,-0.0397221,0.01,-0.9145213775336742,0.9956481549888849,0.14222,999,,,,,,,38,2.923076923,38,2.923076923,,,,,,,,,,,,,,,,,,,"Mickey Gasper","24759",681508
"Austin Slater","DET",27.066,96.999,85.5834,20.354,14.0942,3.78432,0.210354,2.26512,11.0258,9.31036,9.36276,0.00421752,27.1134,1.2177,0.575751,0.259341,2.03259,1.14504,0.345642,0.237826,0.0965243,0.279523,0.345318,0.31977,0.36636,0.304683,0.686131,0.128534,3.87786,0.318575,,-0.0754054,10.8018,-0.659366,94.1775,-0.0754054,0.04,-0.7410622537136078,-1.2130555734038353,0.141645,999,,,,,,,88.3,3.27037037,88.3,3.27037037,,,,,,,,,,,,,,,,,,,"Austin Slater","16153",596103
"Heriberto Hernández","MIA",83.089,334.573,296.835,66.4124,40.7208,13.7513,1.45068,10.4896,36.2095,37.499,30.6488,1.05595,101.43,3.44769,2.24511,1.39617,5.48505,2.94726,0.849959,0.223735,0.0916057,0.303164,0.302166,0.301668,0.38585,0.300406,0.687518,0.162115,4.05549,0.298796,,-0.24557,36.0965,-3.43591,90.0322,-0.24557,0.95,-4.198203608393669,-5.568041145801544,0.139665,999,,,,,,,317.8,3.828915662,317.8,3.828915662,,,,,,,,,,,,,,,,,,,"Heriberto Hernandez","24878",681715
"Aidan Miller","PHI",13.416,53.175,47.7998,10.8833,7.22195,2.27141,0.162562,1.2274,6.25516,5.04741,4.33998,0.0402886,13.922,0.644039,0.315513,0.0756487,0.742275,2.17473,0.329297,0.227685,0.0816168,0.261815,0.311735,0.298824,0.35904,0.290487,0.657863,0.131354,5.93797,0.292906,,0.219779,5.30869,-0.974346,82.9674,0.219779,0,-0.8536734580993652,0.4140740633010864,0.136029,999,,,,,,,47.6,3.661538461,47.6,3.661538461,,,,,,,,,,,,,,,,,,,"Aidan Miller","sa3022609",805795
"Nolan Jones","CLE",38.405,146.644,128.7,28.9605,19.2233,5.58975,0.497404,3.64999,16.4975,14.0001,15.4505,0.596407,42.1512,1.29887,0.858174,0.336265,2.42885,3.10442,0.881049,0.225023,0.105361,0.287439,0.36655,0.312423,0.361266,0.297814,0.673689,0.136243,4.9243,0.302189,,0.026536,15.5125,-1.81457,90.8815,0.026536,-0.67,-1.549470892176032,-2.16910582780838,0.13594,999,,,,,,,139.3,3.665789473,139.3,3.665789473,,,,,,,,,,,,,,,,,,,"Nolan Jones","20529",666134
"Luis Urías",,29.81,112.831,99.5863,22.064,15.2459,4.00594,0.168428,2.64378,11.5592,11.1968,9.8028,0.0467955,20.7522,2.3843,0.814524,0.138605,2.16304,0.680024,0.28697,0.221557,0.0868803,0.183923,0.472374,0.304217,0.344808,0.289581,0.649025,0.123251,2.95794,0.252195,,-0.162309,11.1815,-2.15038,83.6356,-0.162309,-0.63,-2.3446057587862015,-0.16996917128562927,0.133427,999,,,,,,,100.9,3.363333333,100.9,3.363333333,,,,,,,,,,,,,,,,,,,"Luis Urias","16622",649966
"Jake Bauers","MIL",86.762,314.693,274.565,56.6041,33.2287,10.94,0.974603,11.4607,36.0394,38.1329,35.4531,0.763068,96.8288,2.62734,1.66439,0.383425,3.50863,7.37479,2.25036,0.206159,0.112659,0.307693,0.366142,0.301246,0.378328,0.299149,0.679574,0.172168,4.98286,0.268807,,0.0876766,33.6303,-3.55306,91.2663,0.0876766,-0.44,-3.16977521777153,-6.00395530462265,0.132616,999,,,,,,,306.9,3.527586206,306.9,3.527586206,,,,,,,,,,,,,,,,,,,"Jake Bauers","15194",641343
"Luke Maile","KCR",32.566,99.044,87.2183,18.2519,12.9272,3.51527,0.0556929,1.75381,9.40184,8.78649,8.53513,0.0523111,27.7601,1.37425,0.58666,0.699793,1.80522,0.907971,0.368369,0.209267,0.0861752,0.280281,0.30746,0.2882,0.311174,0.26958,0.599374,0.101906,3.04043,0.28303,,-0.119673,8.20676,-3.49605,67.2304,-0.119673,0,-3.945026732981205,1.8195914030075073,0.131318,999,,,,,,,76.1,2.306060606,76.1,2.306060606,,,,,,,,,,,,,,,,,,,"Luke Maile","13355",571912
